Region,Center Name,Street Address,Suite,PO Box,City/Town,Province,Postal Code,Phone,Toll Free,Fax,Fax2,Email,Web,X Coordinate,Y Coordinate,Location
CB,Northside Economic Development Assistance Corp. / NEDAC (main office),105 King Street,,,North Sydney,NS,B2A 3S1,902 794-7213,,902-794-4766,,jobshop@nedac.ca,http://www.northsideemployment.com,46.213764,-60.261426,"(46.213764, -60.261426)"
CB,Northside Economic Development Assistance Corp. /NEDAC (satellite office),503 Chebucto Street,,,Baddeck,NS,B0E 1B0,902 295-1649,,902-295-1437,,mel@nedac.ca,http://www.northsideemployment.com,46.100622,-60.750223,"(46.100622, -60.750223)"
CB,Northside Economic Development Assistance Corp.  /NEDAC (satellite office),36243 Cabot Trail,,PO Box 233,Ingonish,NS,B0C 1K0,902 285-2696,,902-285-2680,,derrick.hawley@ns.aliantzinc.ca,http://www.northsideemployment.com,46.690335,-60.381441,"(46.690335, -60.381441)"
CB,Island Employment Association (main office),500 George Street,Suite 100,,Sydney,NS,B1P 1K6,902 539-5673,,902-539-6226,,info@islandemployment.ca,http://www.islandemployment.ca,46.13664,-60.192578,"(46.13664, -60.192578)"
CB,Island Employment Association (satellite office),811 Reeves Street,Unit 6,,Port Hawkesbury,NS,B9A 2S4,902 625-0001,,902-625-2361,,pproctor@islandemployment.ca,http://www.islandemployment.ca,45.613373,-61.349253,"(45.613373, -61.349253)"
CB,Island Employment Association (satellite office),15122 Cabot Trail,,,Cheticamp,NS,B0E 1H0,902 224-2117,,902-224-2117,,msaucoin@islandemployment.ca,http://www.islandemployment.ca,46.625592,-61.015455,"(46.625592, -61.015455)"
CB,Island Employment Association (satellite office),15792 Central Ave,,,Inverness,NS,B0E 1N0,902 258-3513,,902-258-2441,,lmacdonald@islandemployment.ca,http://www.islandemployment.ca,46.229592,-61.306575,"(46.229592, -61.306575)"
CB,Island Employment Association (itinerant office - call for office hours),10036 Grenville Street,,,St. Peters,NS,B0E 3B0,902 625-0001 (call for office hours),,902-625-2361,,pproctor@islandemployment.ca,http://www.islandemployment.ca,45.656554,-60.871964,"(45.656554, -60.871964)"
CB,Island Employment Association (itinerant office - call for office hours),17 Conney's Lane,,,Arichat,NS,B0E 1A0,902 625-0001 (call for office hours),,902-625-2361,,pproctor@islandemployment.ca,http://www.islandemployment.ca,45.511938,-61.015038,"(45.511938, -61.015038)"
CB,YMCA of Cape Breton (main office),399 Charlotte Street,,,Sydney,NS,B1P 1E3,902 564-9151,,902-564-3063,,resource.sydney@cb.ymca.ca,http://capebreton.ymca.ca,46.136702,-60.193833,"(46.136702, -60.193833)"
CB,YMCA of Cape Breton (main office),106 Reserve Street,,,Glace Bay,NS,B1A 4W5,902 849-5500,,902-849-0314,,resource.gb@cb.ymca.ca,http://capebreton.ymca.ca,46.192644,-59.97247,"(46.192644, -59.97247)"
HRM,TEAM Work (main office),7051 Bayers Road,501,,Halifax,NS,B3L 2C1,902 422-8900,,902-420-3992,,reception@teamworkbridge.org,https://teamworkcooperative.ca,44.654245,-63.625915,"(44.654245, -63.625915)"
